dataset,algorithm,batch_size,JPI_normalized,delay_normalized
elecNormNew,OzaBag,100,0.00582452905114977,0.000211118930330753
covtypeNorm,AdaptiveRandomForest,100,0.004137149103925266,0.0001960390067356992
covtypeNorm,AdaptiveRandomForest,100,0.006348837118000457,0.0002915451895043732
covtypeNorm,AdaptiveRandomForest,100,0.02682096361432707,0.0011443986461579705
covtypeNorm,LBag,100,0.005702555632823392,0.00026138534231426563
covtypeNorm,LBag,100,0.009093186822526363,0.00041553567239703765
covtypeNorm,LBag,100,0.039106406262252535,0.0015951208069434671
covtypeNorm,StreamingRandomPatches,100,0.01793297009519551,0.0008193425153312557
covtypeNorm,StreamingRandomPatches,100,0.025853799089258018,0.0012265004523977078
covtypeNorm,StreamingRandomPatches,100,0.1034657276494039,0.004145303441573674
covtypeNorm,OzaBagAdwin,100,0.0033796436286423186,0.00016587915954559162
covtypeNorm,OzaBagAdwin,100,0.005498502201068677,0.00024462987165309476
covtypeNorm,OzaBagAdwin,100,0.025387803457948145,0.001053919104587648
covtypeNorm,OzaBagASHT,100,0.0012808369860439937,6.367078851244931e-05
covtypeNorm,OzaBagASHT,100,0.0018947285158195124,8.377735330585436e-05
covtypeNorm,OzaBagASHT,100,0.008359315915955238,0.00033678496028953454
covtypeNorm,OzaBag,100,0.0012779157670624822,6.534633557856641e-05
covtypeNorm,OzaBag,100,0.0020321263727986543,8.712844743808853e-05
covtypeNorm,OzaBag,100,0.008973011316260769,0.0003518648838845883
airlines,AdaptiveRandomForest,250,0.033115450092367646,0.0041871921182266006
airlines,AdaptiveRandomForest,250,0.03780391717440869,0.004802117891491572
airlines,AdaptiveRandomForest,250,0.08555373216354223,0.011765691498274186
airlines,LBag,250,0.053785082622480725,0.006474313863476425
airlines,LBag,250,0.053006788833739375,0.006502798163600416
airlines,LBag,250,0.10746745553813403,0.012786099661539492
airlines,StreamingRandomPatches,250,0.06659534356218173,0.007089239636741396
airlines,StreamingRandomPatches,250,0.05383394210711505,0.0064039408866995075
airlines,StreamingRandomPatches,250,0.09321203502554998,0.012466070171911129
airlines,OzaBagAdwin,250,0.010011061136826782,0.0012181227170671223
airlines,OzaBagAdwin,250,0.01205743405849085,0.0013102778057035621
airlines,OzaBagAdwin,250,0.0349098103977378,0.003939211152441272
airlines,OzaBagASHT,250,0.004875705801680073,0.0007137830501658791
airlines,OzaBagASHT,250,0.0021327813988539688,0.00028149190710767064
airlines,OzaBagASHT,250,0.004966404810206011,0.000653463355785664
airlines,OzaBag,250,0.0014122486419470132,0.00018095908314064542
airlines,OzaBag,250,0.0051315244543191085,0.0006735699205790691
airlines,OzaBag,250,0.004343587291816633,0.0005596327200831071
GMSC,AdaptiveRandomForest,250,0.002097991684483442,0.00026473643644649977
GMSC,AdaptiveRandomForest,250,0.0030417196091184185,0.0003987802017358668
GMSC,AdaptiveRandomForest,250,0.012055988084941268,0.0015398277537616032
GMSC,LBag,250,0.03974039038030256,0.005202573640293555
GMSC,LBag,250,0.002259154750730176,0.0002898696424382561
GMSC,LBag,250,0.009387244931284289,0.0011779095874803122
GMSC,StreamingRandomPatches,250,0.00376471324111604,0.00047920646090948693
GMSC,StreamingRandomPatches,250,0.005522603528395166,0.000747293991488221
GMSC,StreamingRandomPatches,250,0.02172253737494228,0.002754599376696491
GMSC,OzaBagAdwin,250,0.0008330795107675065,0.0001055594651653765
GMSC,OzaBagAdwin,250,0.0011828846656832637,0.0001440970476860695
GMSC,OzaBagAdwin,250,0.004860455295269604,0.0005914681143393318
GMSC,OzaBagASHT,250,0.0005130822950200314,5.864414731409805e-05
GMSC,OzaBagASHT,250,0.0006571872135189275,8.210180623973728e-05
GMSC,OzaBagASHT,250,0.002287746939537855,0.00028484300123990484
GMSC,OzaBag,250,0.0005320151069074234,6.031969438021514e-05
GMSC,OzaBag,250,0.0007094420420984209,9.21550886364398e-05
GMSC,OzaBag,250,0.002320178474308679,0.0002915451895043732
elecNormNew,AdaptiveRandomForest,250,0.00430033257014452,0.0005160684963640629
elecNormNew,AdaptiveRandomForest,250,0.005917141920037341,0.0007757782916122113
elecNormNew,AdaptiveRandomForest,250,0.023782753752222503,0.002920478536242083
elecNormNew,LBag,250,0.0028582019786591545,0.00033175831909118325
