,index,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,joules,JPI,PERC
118,118,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,500,76,74.8827133178711,8986.0,120.0009994506836,4548.0,54.48974781993873,127,3.7917391304347823,872.0999999999999,74.8814377236043,9000.0,455.0124853084398,0.05063570947122633,0
116,116,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,50,549,542.0471801757812,65050.0,120.00800323486328,87.0,83.37538461538462,126,4.7959641255605385,1069.5,543.4169239860506,65291.0,575.5540782945574,0.008847872072168445,0
206,206,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,50,305,304.6033630371094,36539.0,119.95600128173828,138.0,76.9190715010003,125,4.488105726872246,1018.7999999999998,304.27613773577053,36539.0,538.3752163252641,0.014734262468191907,0
76,76,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,50,61,59.802154541015625,7200.0,120.39700317382812,564.0,67.27272727272727,125,3.8114537444933916,865.1999999999999,59.90614703630978,7200.0,458.88760857266993,0.06373439007953749,0
15,15,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,2000,659,642.4707641601562,77083.0,119.97899627685548,3065.0,79.27094015955676,127,4.803463203463203,1109.6,653.0321818227212,78469.0,576.314693804324,0.007476547277665944,0
176,176,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,2000,366,360.4519348144531,43229.0,119.93000030517578,5093.0,68.75500254675107,127,4.3675324675324685,1008.9000000000003,364.0458231346887,43727.0,523.7981701640341,0.012116823663837565,0
77,77,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,2000,73,66.12226104736328,8000.0,120.98799896240234,19718.0,44.583333333333336,126,3.7183856502242145,829.1999999999998,69.89341254586755,8400.0,449.880039191139,0.056235004898892375,0
18,18,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,500,715,712.1973266601562,85500.0,120.0510025024414,692.0,80.27882352941177,126,4.7497816593886455,1087.6999999999998,712.7570167336512,85657.0,570.2160498773166,0.0066691935658165676,0
92,92,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,500,397,394.5389404296875,47321.0,119.94000244140624,1161.0,74.49221503171654,126,4.395196506550218,1006.4999999999999,393.94771894771895,47321.0,527.1598797260933,0.011140083255343153,0
219,219,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,500,79,74.20354461669922,9000.0,121.28800201416016,4407.0,52.90588235294118,126,3.7479452054794518,820.8,74.88455298082123,9000.0,454.5807856311537,0.0505089761812393,0
183,183,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,50,631,625.71337890625,75100.0,120.02300262451172,79.0,81.71085942704863,126,4.619298245614035,1053.1999999999998,628.0497952934128,75474.0,554.4220454567356,0.007382450671860661,0
112,112,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,50,350,349.56231689453125,41930.0,119.9499969482422,124.0,75.77363896848138,125,4.273568281938325,970.0999999999999,349.12572855953374,41930.0,512.6145023766068,0.012225483004450435,0
149,149,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,50,70,69.88817596435547,8400.0,120.19200134277344,509.0,61.72455089820359,126,3.7855895196506544,866.8999999999999,69.88876038971304,8400.0,454.9975806290405,0.05416637864631434,0
136,136,LBagExecutorMAXChunk,covtypeNorm,4,2000,424,408.4249877929688,48982.0,119.9290008544922,4507.0,77.98731429057936,126,5.017272727272728,1103.8000000000002,418.8811188811189,50316.0,601.7165051963115,0.012284441329392664,0
186,186,LBagExecutorMAXChunk,covtypeNorm,4,2000,235,228.9976348876953,28000.0,122.27200317382812,7633.0,64.69615384615385,128,4.545064377682404,1059.0,234.50280707015176,28153.0,555.734126013236,0.019847647357615572,0
78,78,LBagExecutorMAXChunk,covtypeNorm,4,2000,47,45.0097541809082,5400.0,119.9739990234375,26368.0,46.94117647058824,129,3.7931623931623926,887.5999999999999,44.93858393528844,5400.0,455.08086125300474,0.08427423356537125,0
33,33,LBagExecutorMAXChunk,covtypeNorm,4,500,460,454.1363830566406,54500.0,120.00800323486328,1030.0,83.50740740740741,125,4.923423423423423,1093.0,458.728731728432,55108.0,590.8502141247998,0.010841288332565133,0
31,31,LBagExecutorMAXChunk,covtypeNorm,4,500,255,253.3643493652344,30500.0,120.37999725341795,1711.0,73.81333333333333,126,4.4331877729257645,1015.2,254.44989546806156,30549.0,533.6671319286896,0.017497283014055398,0
207,207,LBagExecutorMAXChunk,covtypeNorm,4,500,51,49.37215042114258,6000.0,121.5260009765625,6501.0,55.94545454545455,127,3.761739130434782,865.1999999999998,49.925112331502746,6000.0,457.1491132387907,0.07619151887313177,0
204,204,LBagExecutorMAXChunk,covtypeNorm,4,50,397,393.9133911132813,47270.0,120.0009994506836,118.0,85.38754764930114,126,5.11004366812227,1170.1999999999998,393.9280422223332,47321.0,613.2103474113096,0.012972505762879408,0
161,161,LBagExecutorMAXChunk,covtypeNorm,4,50,221,219.77069091796875,26356.0,119.9250030517578,189.0,79.08842089257205,125,4.623853211009174,1008.0,219.53271417267084,26356.0,554.5156104411553,0.021039444924918625,0
60,60,LBagExecutorMAXChunk,covtypeNorm,4,50,44,39.93178176879883,4800.0,120.20500183105467,807.0,70.90526315789474,126,3.8557017543859646,879.0999999999999,39.944743105370904,4800.0,463.4746364459656,0.09655721592624283,0
115,115,AdaptiveRandomForestExecutorMAXChunk,covtypeNorm,4,2000,528,477.2018737792969,57248.0,119.96600341796876,3841.0,79.58659136982334,126,5.173684210526316,1179.6000000000001,523.479375436961,62895.0,620.666217683491,0.010841710062945273,0
154,154,AdaptiveRandomForestExecutorMAXChunk,covtypeNorm,4,2000,293,262.7640991210937,31502.0,119.88700103759766,6361.0,66.98867873364517,126,4.726315789473684,1077.6,289.350290249773,34742.0,566.6238259566458,0.017986915940468723,0
147,147,AdaptiveRandomForestExecutorMAXChunk,covtypeNorm,4,2000,58,55.003211975097656,6600.0,119.99299621582033,22874.0,46.71739130434783,125,3.9960526315789466,911.0999999999998,54.91762356465302,6600.0,479.4983282992714,0.07265126186352597,0
70,70,AdaptiveRandomForestExecutorMAXChunk,covtypeNorm,4,500,554,520.38232421875,62500.0,120.10399627685548,884.0,81.56612903225806,124,5.088888888888889,1145.0,548.3658879632482,65890.0,611.1958921644423,0.009779134274631077,0
179,179,AdaptiveRandomForestExecutorMAXChunk,covtypeNorm,4,500,308,294.81866455078125,35500.0,120.41300201416016,1417.0,72.99142857142857,125,4.645814977973568,1054.6,304.2786715965491,36539.0,559.4165283001466,0.015758212064792863,0
38,38,AdaptiveRandomForestExecutorMAXChunk,covtypeNorm,4,500,61,60.0,7200.0,120.0,5118.0,56.35820895522387,125,3.9292035398230083,887.9999999999999,59.90614703630978,7200.0,471.504424778761,0.06548672566371681,0
62,62,AdaptiveRandomForestExecutorMAXChunk,covtypeNorm,4,50,527,500.6747741699219,60100.0,120.03800201416016,88.0,86.54954204829309,124,5.1300884955752215,1159.4,523.4924466269924,62895.0,615.8055731646783,0.010246348971126095,0
93,93,AdaptiveRandomForestExecutorMAXChunk,covtypeNorm,4,50,293,289.1523132324219,34687.0,119.96099853515624,129.0,79.87989721973612,125,4.592477876106195,1037.9,289.3310126002482,34742.0,550.9182317683127,0.01588255634007878,0
36,36,AdaptiveRandomForestExecutorMAXChunk,covtypeNorm,4,50,58,54.90843200683594,6590.0,120.01799774169922,593.0,72.55351681957187,124,4.0040000000000004,900.9000000000001,54.91808052987626,6600.0,480.5520629577637,0.07292140560815838,0
83,83,StreamingRandomPatchesExecutorMAXChunk,airlines,4,2000,144,64.1483154296875,8000.0,124.71099853515624,29396.0,60.98333333333333,129,6.064102564102564,1419.0,139.77635782747603,16800.0,756.260285988832,0.094532535748604,0
110,110,StreamingRandomPatchesExecutorMAXChunk,airlines,4,2000,80,57.89801406860352,8000.0,138.1739959716797,31391.0,61.28333333333333,143,5.7081081081081075,1478.3999999999999,79.87353357184458,9600.0,788.7121067356418,0.09858901334195522,0
101,101,StreamingRandomPatchesExecutorMAXChunk,airlines,4,2000,16,15.006503105163574,1800.0,119.947998046875,83214.0,75.72222222222223,147,3.9161654135338337,1041.6999999999998,14.982645102755974,1800.0,469.7362013737957,0.2609645563187754,0
86,86,StreamingRandomPatchesExecutorMAXChunk,airlines,4,500,170,71.56147003173828,9000.0,125.76599884033205,6906.0,64.85882352941177,130,6.25,1412.5,169.71100963301222,20366.0,786.0374927520753,0.08733749919467504,0
47,47,StreamingRandomPatchesExecutorMAXChunk,airlines,4,500,94,66.67294311523438,8500.0,127.48799896240234,7334.0,64.2375,132,6.159166666666666,1478.1999999999998,89.85623003194888,10800.0,785.219833609263,0.09237880395403095,0
