arch,eval,dataset,algorithm,ensemble_size,cores,chunk_size,time,accuracy,precision,recall
i7,Chunks,GMSC,AdaptiveRandomForestExecutorCHUNK,150,8,500,113.1240005493164,93.53846153846153,77.78409514478048,54.25304355218078
i7,Chunks,GMSC,AdaptiveRandomForestExecutorMAXChunk,100,8,2000,52.40999984741211,93.53581081081082,77.56603125459145,54.49373750385376
i7,Chunks,GMSC,AdaptiveRandomForestExecutorMAXChunk,100,8,50,56.48099899291992,93.54718239413138,77.73922336434825,54.37553333726347
i7,Chunks,GMSC,AdaptiveRandomForestExecutorMAXChunk,100,8,500,52.680999755859375,93.55317725752509,78.01460357804095,54.40020621577829
i7,Chunks,GMSC,AdaptiveRandomForestExecutorMAXChunk,150,8,2000,81.2490005493164,93.53851351351351,78.29521606176726,54.12051975637936
i7,Chunks,GMSC,AdaptiveRandomForestExecutorMAXChunk,150,8,50,85.73799896240234,93.54384794931644,77.76377321745578,54.29500784626803
i7,Chunks,GMSC,AdaptiveRandomForestExecutorMAXChunk,150,8,500,79.89099884033203,93.54648829431437,77.93789346410527,54.31769813698084
i7,Chunks,GMSC,LBagExecutorCHUNK,100,8,2000,43.43199920654297,93.53445945945947,77.27819932778715,54.6662963996557
i7,Chunks,GMSC,LBagExecutorCHUNK,100,8,50,40.9109992980957,93.43714571523842,76.00224691156377,53.00580404546166
i7,Chunks,GMSC,LBagExecutorCHUNK,100,8,500,41.220001220703125,93.52307692307691,76.8393916792035,54.5790658755398
i7,Chunks,GMSC,LBagExecutorCHUNK,150,8,2000,65.81600189208984,93.56891891891892,77.97237105226648,54.87677898245481
i7,Chunks,GMSC,LBagExecutorCHUNK,150,8,50,65.22799682617188,93.4651550516839,76.41799292768563,53.437664540674746
i7,Chunks,GMSC,LBagExecutorCHUNK,150,8,500,64.4990005493164,93.5571906354515,77.7125164148933,54.66698391935702
i7,Chunks,GMSC,LBagExecutorMAXChunk,100,8,2000,41.22800064086914,93.55608108108108,77.41904261397758,55.01508251649157
