,pontos,distancia,batch_size,PERC,inc_rate
252,"(0.007709006538622173, 0.00013069267115713281)",0.007710114291423546,50,10,baixo
253,"(0.005151866365974545, 0.005839281525418049)",0.0077871006020179484,2000,50,baixo
254,"(0.00784591847512794, 8.377735330585436e-05)",0.007846365742385508,25,50,baixo
255,"(0.005520737602053007, 0.005727019871988204)",0.00795470302933238,2000,10,baixo
256,"(0.0052688446815728224, 0.006055427096947153)",0.008026762834728583,2000,50,baixo
257,"(0.008359315915955238, 0.00033678496028953454)",0.00836609745892431,100,10,medio
258,"(0.008486308757288041, 7.87507121075031e-05)",0.008486674142364672,25,10,baixo
259,"(0.008490240626336019, 0.0009734928454140277)",0.00854586883898641,250,50,medio
260,"(0.006095637506711762, 0.006127475620790188)",0.008643075499879038,2000,10,baixo
261,"(0.005967054501799884, 0.006556415669716162)",0.008865231292050416,2000,50,baixo
262,"(0.008627172753612486, 0.0021916155624811503)",0.008901195902483172,500,50,alto
263,"(0.008973011316260769, 0.0003518648838845883)",0.008979907626376507,100,10,medio
264,"(0.008702898342316535, 0.0023156060453738145)",0.009005691029236327,500,10,alto
265,"(0.009059114578282488, 0.00038872691933916425)",0.0090674508854622,100,90,medio
266,"(0.009093186822526363, 0.00041553567239703765)",0.009102676336353038,100,50,medio
267,"(0.009132430525611223, 0.00046580208438055026)",0.009144301990142767,100,50,medio
268,"(0.009445481602260443, 0.00010220837103314231)",0.009446034578051774,25,90,baixo
269,"(0.009387244931284289, 0.0011779095874803122)",0.009460858227254048,250,10,medio
270,"(0.009515372248049039, 0.0003669448074796421)",0.009522444933454752,100,10,medio
271,"(0.009582098070414978, 0.00020609228913240173)",0.009584314136269236,50,90,baixo
272,"(0.009669745078560554, 9.21550886364398e-05)",0.009670184199109531,25,10,baixo
273,"(0.009680692521733309, 0.00021447002446298716)",0.009683067958644943,50,50,baixo
274,"(0.00971937601683439, 0.00018263463020676252)",0.009721091788722411,50,10,baixo
275,"(0.009741048150198328, 9.383063570255688e-05)",0.009741500051464283,25,10,baixo
276,"(0.009765548186043745, 0.0001859857243389967)",0.009767319082716617,50,10,baixo
277,"(0.010010086426959747, 0.00010388391809925941)",0.010010625462159865,25,10,baixo
278,"(0.010011061136826782, 0.0012181227170671223)",0.010084898018280528,250,90,medio
279,"(0.010344067509584338, 5.361750611574679e-05)",0.010344206469314136,50,10,baixo
280,"(0.01044794837316139, 0.00012231493582654738)",0.010448664323815363,25,90,baixo
281,"(0.010505027102147057, 0.0014543748533896318)",0.010605225157016531,250,50,medio
282,"(0.007456968947023388, 0.0076153614155021615)",0.01065833548756982,2000,90,baixo
