dataset,algorithm,ensemble_size,cores,batch_size,instances,time,acc,prec,recall,change
GMSC,LBagExecutorMAXChunk,25,4,500,1,150000.0,75.08499908447266,93.52575250836121,76.76025832763926,54.70584927153026,108.0
elecNormNew,LBagExecutorMAXChunk,25,4,25,1,45312.0,39.54100036621094,90.49837701768719,90.55550145072799,89.94892952576126,1803.0
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,50,1,150000.0,38.082000732421875,93.40246748916306,82.16138715941707,51.060436891905105,0
GMSC,OzaBagAdwin,25,1,1,1,150000.0,88.56800079345703,93.446,78.88636944103557,52.11140840493101,0.0
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,500,1,150000.0,29.89699935913086,93.6247491638796,84.49121610252352,53.39861846292213,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,1,45312.0,102.45099639892578,89.5718262560205,89.58002130391058,89.01312242186734,0
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,250,1,150000.0,31.816999435424805,93.56126878130216,84.22627338447863,52.705317796558674,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,15,1,45312.0,26.316999435424805,86.63487648188621,86.95248058219067,85.63518574809052,0
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,75,1,150000.0,35.8380012512207,93.60413540103384,83.05967115910428,53.382979404116604,0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,100,1,581012.0,514.1619873046875,85.87669044536867,78.13393694451089,84.77980929896756,0
airlines,OzaBagExecutorMAXChunk,25,4,2000,1,539383.0,86.80000305175781,60.78681312955564,61.97503026554247,57.583511454414726,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,75,1,45312.0,116.38400268554688,89.72301434666313,89.74518768721191,89.1620937549196,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,15,1,539383.0,2488.2919921875,66.14352353124397,65.72669525294631,65.04946336216949,0
GMSC,LBagExecutorRUNPER,25,4,1,1,150000.0,174.0679931640625,93.542,76.36127805321364,55.40372369060213,4.0
GMSC,StreamingRandomPatchesExecutorRUNPER,25,4,1,1,150000.0,479.6310119628906,93.53266666666667,79.94319653118681,53.19492629207354,0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,75,1,150000.0,19.12299919128418,93.33133233283309,75.8,51.4,
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,5,1
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,15,1,581012.0,222.57699584960938,75.24307354426959,72.48435055679633,55.33100613539255,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,1,45312.0,50.077999114990234,88.8575914296269,88.82610928240331,88.31659342312106,0
covtypeNorm,StreamingRandomPatches,25,1,1,1,8300.0,121.80799865722656,82.7710843373494,82.89825588318853,81.97854377752499,0
