,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPI,PERC,tput
54,LBagExecutorMAXChunk,elecNormNew,4,100,141,139.375732421875,16700.0,119.81999969482422,433.0,91.31927710843374,25,126,3.2938864628820963,754.3000000000001,139.75152691791723,16772.0,415.02969432314416,394.6734749773184,0.02485207750437989,10,139.37573061704305
396,LBagExecutorMAXChunk,elecNormNew,4,50,1184,1083.39404296875,41650.0,38.44400024414063,43.0,90.41586538461537,25,44,4.972839506172839,402.8,1175.225645813881,45312.0,218.80493827160493,191.1758431893808,0.005253419886473107,90,1083.3940207964702
160,LBagExecutorMAXChunk,elecNormNew,4,50,658,649.7069091796875,45000.0,69.26200103759766,60.0,90.19354838709678,25,74,4.178518518518517,564.0999999999999,652.7695742995029,45312.0,309.2103703703703,289.4125539652506,0.006871341563786007,50,649.7069002608305
275,LBagExecutorMAXChunk,elecNormNew,4,50,131,129.6784210205078,15550.0,119.91200256347656,233.0,92.32903225806452,25,126,3.218777292576419,737.0999999999999,129.76494996542158,15574.0,405.5659388646288,385.9700309586837,0.026081410859461657,10,129.67842807702638
360,LBagExecutorMAXChunk,elecNormNew,4,25,1132,1080.7955322265625,43475.0,40.22499847412109,22.0,90.39585730724971,25,46,5.0,420.0,1122.473246135553,45312.0,230.0,201.12499237060544,0.005290396779758482,90,1080.7955661693763
207,LBagExecutorMAXChunk,elecNormNew,4,25,629,623.5718383789062,45300.0,72.64600372314453,22.0,90.30590833793485,25,77,4.124822695035461,581.6,622.289363455332,45312.0,317.6113475177305,299.6518848608572,0.007011288024673963,50,623.5718095745399
317,LBagExecutorMAXChunk,elecNormNew,4,25,125,124.94159698486328,14975.0,119.8560028076172,40.0,92.37458193979933,25,126,3.1837719298245615,725.9,124.77814903385466,14975.0,401.15526315789475,381.59417735986545,0.02678833142957561,10,124.94159365581892
405,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,2000,787,653.9547119140625,38000.0,58.108001708984375,2777.0,88.6,25,62,5.011504424778761,566.3,781.3895738847023,45312.0,310.7132743362832,291.208507679627,0.008176665114112715,90,653.9546857988859
126,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,2000,437,402.7231750488281,42000.0,104.29000091552734,3858.0,88.8975,25,109,4.0464646464646465,801.2,433.7114142139268,45312.0,441.0646464646465,422.005801684447,0.010501539201539203,50,402.72317222452705
257,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,2000,87,83.32569122314453,10000.0,120.01100158691406,14868.0,89.2375,25,124,3.306637168141593,747.3,84.8585690515807,10200.0,410.0230088495575,396.83283843318975,0.04100230088495575,10,83.32569404279012
