dataset,algorithm,ensemble_size,cores,batch_size,instances,time,acc,prec,recall,change
covtypeNorm,OzaBagExecutorMAXChunk,25,4,500,41,2401.0,60.10499954223633,50.86796422935297,?,?,0
GMSC,LBagExecutorMAXChunk,25,4,500,454,27000.0,60.319000244140625,93.44528301886793,71.85957317536264,52.221588000241134,0.0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,202,12000.0,60.0620002746582,81.58995815899581,81.40991909779935,81.08666012052707,0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,2000,4,1201.0,60.08300018310547,0.0,?,?,0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,2000,737,40648.0,60.00600051879883,76.34547712688884,?,?,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,500,374,22201.0,60.17399978637695,79.42030321183356,79.19211395292972,78.55027011021684,0
elecNormNew,LBagExecutorMAXChunk,25,4,50,84,4801.0,60.12799835205078,82.15112607872027,81.2957864451783,81.39893115547481,92.0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,22,1201.0,60.09199905395508,0.0,?,?,0
elecNormNew,OzaBagExecutorMAXChunk,25,4,500,489,29101.0,60.17399978637695,78.39236390336002,78.67850618081576,76.70308058520116,0
covtypeNorm,LBagExecutorMAXChunk,25,4,2000,42
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,50,37,2100.0,60.34199905395508,71.3170731707317,71.79365624944569,?,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,500,186,11000.0,61.55400085449219,81.77142857142857,?,?,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,70,3250.0,60.27199935913086,72.1875,62.1953604920591,56.9371308804853,0
covtypeNorm,LBagExecutorMAXChunk,25,4,2000,162,8000.0,61.457000732421875,40.766666666666666,39.31960117801899,?,5.0
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,50,600,34550.0,60.042999267578125,93.5159420289855,74.11392356384165,53.22454611861416,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,56,3301.0,60.117000579833984,74.86548808608762,80.9977727485002,70.88045977011494,0
airlines,OzaBagExecutorMAXChunk,25,4,2000,189,10000.0,66.9540023803711,59.487500000000004,60.10836943979294,57.12271590665075,0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,43,2401.0,60.108001708984375,81.1994895789026,80.50408939400614,81.18560918235764,0
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,500,1805,104500.0,60.020999908447266,93.42884615384615,77.49435842897489,52.035822412486134,0
covtypeNorm,OzaBagExecutorMAXChunk,25,4,50,38,2100.0,60.19200134277344,64.2439024390244,?,?,0
